NAZWA,LAT,LNG,X,Y,PROPONOWANA LOKALIZACJA,RODZAJ PROJEKTU (DUŻE/MAŁE),INFORMACJA O DOPUSZCZENIU,SUMA GŁOSÓW WAŻNYCH
Multimedialna mapa Kielc,50.8711541742,20.6274184584,7473775.327,5637384.043,"Plac Artystów,  545/2, skrzyżowanie ul.Sienkiewicza i ul.Kapitulnej",Małe (do 150 tys.zł),ZADANIE DOPUSZCZONE DO GŁOSOWANIA,926
Modernizacja Urzędu Miasta polegająca na wprowadzeniu rozwiązań ułatwiających korzystanie z obiektu,50.8718244595,20.6307148933,7474007.723,5637457.438,"Rynek 1, 25-303 Kielce, obręb ewidencyjny 0016, nr działek 196/3, 196/2,196/4, 196/5, 196/6",Małe (do 150 tys.zł),ZADANIE DOPUSZCZONE DO GŁOSOWANIA,572
Wieża widokowa na trasie szlaku Bukówka - Słowik,50.8379833244,20.6231832504,7473458.407,5633695.748,zbieg ul.Popiełuszki i Ściegiennego -Kawetczyzna,,ZADANIE ODRZUCONE,
"""Integracyjne Przedszkole Samorządowe nr 27 przyjazne dla środowiska"" - modernizacja zagospodarowania ogólnodostępnego terenu z dostosowaniem dla potrzeb osób niepełnosprawnych",50.8819689659,20.6337887049,7474229.670,5638584.804,"obręb 0010 - działki 832/11, 832/8, 832/7, 832/6, 832/9, 834/3, 25-533 Kielce, ul.Toporowskiego 11a",Małe (do 150 tys.zł),ZADANIE DOPUSZCZONE DO GŁOSOWANIA,992
Budowa miejsc postojowych na pasie dawnego terenu zielonego wzdłuż drogi ul.Piekoszowskiej poprzez ułożenie płyt ażurowych na długości 300m,50.8753145272,20.6147503853,7472886.084,5637851.402,"wzdłuż ul.Piekoszowskiej na długości od ul.Łąkowej do ul.Mielczarskiego po stronie bloków wielorodzinnych, obr. 0009, dz. 1700/12",Małe (do 150 tys.zł),ZADANIE DOPUSZCZONE DO GŁOSOWANIA,181
Projekt habitat maniek ck (osiedla na zasadach samorządności i współdecydowaniu wszystkich mieszkańców - tanie niekonwencjonalne najlepiej proekologiczne obiekty - budynki mieszkalne w użytkowaniu jak i w budowaniu),50.8843820652,20.6718492508,7476909.181,5638840.639,obszar - niewielki wycinek w okolicach (łąkach-nieużytkach) obrębu ulic: Radomska - Wschodnia-G.Morcinka - Ciekocka - Świerczyńska-Św.Pwała i/lub np. Świerczyńska-Ciekocka-G.Morcinka-Świętokrzyska,,ZADANIE ODRZUCONE,
"Projekt 3M - czyli ""Mini muzeum miejskie pod chmurką"" - kielecki historyczny park tematyczny",50.8694411787,20.6291699409,7473897.650,5637192.875,"Plac Najświętszej Marii Panny w Kielcach, działka nr 0016 (577)",Małe (do 150 tys.zł),ZADANIE DOPUSZCZONE DO GŁOSOWANIA,754
Zielony zakątek,50.8778058221,20.6392389536,7474610.941,5638119.821,"teren Zespołu Szkół Ponadpodstawowych Nr 2 w Kielcach, ul.Radiowa 1",Małe (do 150 tys.zł),ZADANIE DOPUSZCZONE DO GŁOSOWANIA,2876
Strefa aktywności ruchowej,50.8778430551,20.6393301487,7474617.379,5638123.931,"teren Zespołu Szkół Ponadpodstawowych Nr 2 w Kielcach, ul.Radiowa 1",Małe (do 150 tys.zł),ZADANIE DOPUSZCZONE DO GŁOSOWANIA,2859
Budowa chodnika ul.Aleksandrówka do skrzyżowania ul.Janowska - ul.Dobromyśl w Kielcach,50.8549696113,20.5399703979,7467608.985,5635618.424,"ul.Aleksandrówka do skrzyżowania ul.Janowska - ul.Dobromyśl w Kielcach, 639/30, 698",,ZADANIE ODRZUCONE,
Budowa chodnika ul.Łopuszańska do ul. Za Walcownią w Kielcach,50.8510479032,20.5334258080,7467145.423,5635185.078,"ul.Łopuszańska do ul.Za Walcownią w Kielcach 176/3, 639/32",,ZADANIE ODRZUCONE,
"Ulica Miła w Kielcach - odcinek pomiędzy ulicą Jagiellońską a ulicą 1-go Maja (około 200 metrów) - droga (jezdnia, chodnik, zieleńce)",50.8820231182,20.6176578999,7473094.578,5638596.581,"ulica Miła w Kielcach - jej gruntowy odcinek nie wyposażony w nawierzchnię i chodniki - pomiędzy ulicami Jagiellońską, a 1-go Maja (około 200 metrów)",,ZADANIE ODRZUCONE,
"Siłownia na powietrzu na czterech stanowiskach (po dwa urządzenia) na osiedlu ""Pod Dalnią"" w Kielcach",50.8798273626,20.5931948125,7471371.770,5638361.530,nr działki 496/4,Małe (do 150 tys.zł),ZADANIE DOPUSZCZONE DO GŁOSOWANIA,4253
"Boisko wielofunkcyjne do koszykówki i siatkówki z nawierzchni poliuretanowej z ogrodzeniem w miejscu obecnie istniejącego boiska asfaltowego do gry w kosza na osiedlu ""Pod Dalnią""",50.8797859003,20.5931639671,7471369.574,5638356.930,nr działki 496/4,Małe (do 150 tys.zł),ZADANIE DOPUSZCZONE DO GŁOSOWANIA,1552
"Modernizacja mini boiska do piłki nożnej o wymiarach 14m x 25,25 m",50.8617590084,20.6445175409,7474973.837,5636333.024,"Miejski Szkolny Ośrodek Sportowy w Kielcach ul.Prosta 57, 25-385 Kielce, nr działki 1394/11, nr obrębu 0017",Małe (do 150 tys.zł),ZADANIE DOPUSZCZONE DO GŁOSOWANIA,5441
Budowa siłowni zewnętrznej przy Zespole Szkół Ogólnokształcących nr 26 w Kielcach na osiedlu Baranówek,50.8521553619,20.6223464012,7473407.520,5635272.493,"Kielce ul. Dygasińskiego 6, obr. 0023 działki nr 628/8 i 628/9",Małe (do 150 tys.zł),ZADANIE DOPUSZCZONE DO GŁOSOWANIA,1404
Remont szatni szkolnej w Zespole Szkół Ogólnokształcących nr 26 w Kielcach,50.8523009891,20.6222766638,7473402.692,5635288.718,"budynek szkolny umiejscowiony na działce nr 628/13, obręb  0023 Kielce ul.Dygasińskiego 6",,ZADANIE ODRZUCONE,
Plac zabaw PSZCZÓŁKA w Centrum dla wszystkich dzieci,50.8673963350,20.6377208233,7474498.421,5636962.426,"Działka nr 1325 ob. nr 0017, lok.- skrzyżowanie ul.Żeromskiego, Winnickiej i Zagórskiej. Dz. Nr 1325 podzielona chodnikiem na dwa trójkąty (przy pomniku pszczółki)",Małe (do 150 tys.zł),ZADANIE DOPUSZCZONE DO GŁOSOWANIA,1817
"Budowa plenerowej siłowni zewnętrznej przy placu zabaw, dla mieszkańców Osiedla ""Ślichowice I""",50.8815780524,20.5899775028,7471146.439,5638557.523,"Proponowana lokalizacja obiektu obok budynku przy ul.Kowalczewskiego 3 w Kielcach. Obręb nr 0009, nr działki: 1834",,ZADANIE ODRZUCONE,
Przebudowa zatoki parkingowej i skrzyżowania przy budynku 50B,50.8950246092,20.6659591198,7476500.070,5640026.344,"Teren przy budynku 50B, ul. Orląt Lwowskich działka nr 844/294 obręb 0007",Małe (do 150 tys.zł),ZADANIE DOPUSZCZONE DO GŁOSOWANIA,334
Wykonanie chodnika łączącego osiedla,50.8935375063,20.6692957878,7476734.064,5639859.866,działka nr 844/224,,ZADANIE ODRZUCONE,
Budowa II cześci placu treningowego do gry w piłkę nożną,50.8941414890,20.6577086449,7475919.191,5639930.767,"Osiedle Na Stoku Kielce Obręb 0007, Nr działek- 854/5, 854/6, 854/13, 854/15",,ZADANIE ODRZUCONE,
"Siłownia zewnętrzna na wolnym powietrzu dla młodzieży, dorosłych i seniorów",50.8931331550,20.6548976898,7475720.911,5639819.523,"Tereny zielone przy ul. Przyborowskiego Kielce obręb 0007, nr działki 844/159",,ZADANIE ODRZUCONE,
"""Tereny rekreacyjno-sportowe na Prostej""",50.8637854773,20.6370958686,7474452.456,5636560.982,"25-371 Kielce, ul. Prosta 27a, nr obrębu 0017, nr działki 1360/2",Duże (powyżej 150 tys. zł),ZADANIE DOPUSZCZONE DO GŁOSOWANIA,2170
Wodny plac zabaw,50.8627510919,20.6528913975,7475563.878,5636440.576,Teren zespołu obiektów sportowych przy ul. Szczecińska 1 w Kielcach; obiekt MOSiR nr działki: 1535/6,Duże (powyżej 150 tys. zł),ZADANIE DOPUSZCZONE DO GŁOSOWANIA,1349
Plac zabaw w Niewachlowie,50.9030869589,20.5751287937,7470115.297,5640956.017,"Sąsiedztwo boiska przy ul. Miedzianej ( działka numer 361/3 o pow. 0.6448 ha, własność Gminy Kielce)",Małe (do 150 tys.zł),ZADANIE DOPUSZCZONE DO GŁOSOWANIA,103
Remont ulic: Dąbrowskiej i Nowy Świat wraz z nawierzchnią i chodnikami oraz montaż kanalizacji deszczowej,50.8793458902,20.6316697598,7474079.104,5638293.763,ul.Dąbrowskiej i Nowy Świat,,ZADANIE ODRZUCONE,
"Budowa trzech parkingów, każdy po cztery miejsca postojowe (łącznie 12 miejsc parkingowych) na długości ulicy Aleksandry Dobrowolskiej 5A i 5 B",50.8877967425,20.6517487764,7475496.576,5639226.955,"ul. Aleksandry Dobrowolskiej, obręb 0011, nr działki 275/156",Małe (do 150 tys.zł),ZADANIE DOPUSZCZONE DO GŁOSOWANIA,96
"Budowa parkingu, remont częściowy drogi i naprawa chodnika wzdłuż budynku Wojska Polskiego 5 w Kielcach",50.8653886446,20.6297680736,7473937.493,5636741.873,"Ul. Wojska Polskiego 5, obręb 0017, nr działki 1247 i 1244/36",Małe (do 150 tys.zł),ZADANIE DOPUSZCZONE DO GŁOSOWANIA,125
"""Zielona Sienkiewka""- rewitalizacja Miasta Kielce poprzez budowę błękitno- zielonej infrastruktury- ogrody deszczowe i wertykalne- projekt pilotażowy",50.8708901196,20.6287944317,7473872.029,5637354.183,"Kielce ul. Sienkiewicza 76,74,72,29,28,26,9,10/12c, obręby 00016 i 0017, działki nr 136/2, 128, 127, 543, 553, 229, 1141, 460/1 (lub inne zaproponowane przez Miasto Kielce)",Małe (do 150 tys.zł),ZADANIE DOPUSZCZONE DO GŁOSOWANIA,1055
